date,n_total,n_tanker
2020-04-25,75,51
2020-04-26,85,54
2020-04-27,65,48
2020-04-28,93,53
2020-04-29,63,36
2020-04-30,73,36
2020-05-01,72,42
2020-05-02,80,57
2020-05-03,73,43
2020-05-04,92,57
2020-05-05,64,42
2020-05-06,94,55
2020-05-07,84,47
2020-05-08,83,52
2020-05-09,89,55
2020-05-10,85,40
2020-05-11,92,59
2020-05-12,80,53
2020-05-13,75,47
2020-05-14,94,60
2020-05-15,75,45
2020-05-16,86,57
2020-05-17,86,50
2020-05-18,59,38
2020-05-19,93,55
2020-05-20,85,48
2020-05-21,86,54
2020-05-22,61,40
2020-05-23,83,44
2020-05-24,70,44
2020-05-25,67,38
2020-05-26,84,51
2020-05-27,76,49
2020-05-28,75,49
2020-05-29,78,52
2020-05-30,72,39
2020-05-31,88,54
2020-06-01,79,48
2020-06-02,93,56
2020-06-03,85,49
2020-06-04,91,61
2020-06-05,78,45
2020-06-06,72,45
2020-06-07,77,47
2020-06-08,71,46
2020-06-09,84,49
2020-06-10,93,56
2020-06-11,77,49
2020-06-12,83,52
2020-06-13,83,53
2020-06-14,94,55
2020-06-15,76,46
2020-06-16,78,48
2020-06-17,92,54
2020-06-18,79,49
2020-06-19,94,49
2020-06-20,86,55
2020-06-21,92,61
2020-06-22,87,60
2020-06-23,88,58
2020-06-24,81,44
2020-06-25,74,46
2020-06-26,104,74
2020-06-27,76,50
2020-06-28,76,45
2020-06-29,97,58
2020-06-30,94,56
2020-07-01,64,36
2020-07-02,75,40
2020-07-03,90,56
2020-07-04,84,45
2020-07-05,90,57
2020-07-06,71,46
2020-07-07,100,65
2020-07-08,68,42
2020-07-09,80,44
2020-07-10,75,49
2020-07-11,88,58
2020-07-12,78,51
2020-07-13,85,53
2020-07-14,83,54
2020-07-15,80,51
2020-07-16,72,47
2020-07-17,82,54
2020-07-18,86,52
2020-07-19,73,46
2020-07-20,89,57
2020-07-21,76,51
2020-07-22,73,44
2020-07-23,72,48
2020-07-24,94,56
2020-07-25,91,62
2020-07-26,99,61
2020-07-27,91,57
2020-07-28,70,50
2020-07-29,84,45
2020-07-30,98,66
2020-07-31,89,57
2020-08-01,85,55
2020-08-02,83,51
2020-08-03,92,60
2020-08-04,100,65
2020-08-05,80,47
2020-08-06,105,65
2020-08-07,83,52
2020-08-08,90,64
2020-08-09,86,50
2020-08-10,79,50
2020-08-11,81,58
2020-08-12,86,62
2020-08-13,87,46
2020-08-14,95,58
2020-08-15,111,75
2020-08-16,88,56
2020-08-17,76,43
2020-08-18,90,56
2020-08-19,85,47
2020-08-20,100,59
2020-08-21,67,41
2020-08-22,67,42
2020-08-23,92,56
2020-08-24,67,48
2020-08-25,74,55
2020-08-26,70,45
2020-08-27,88,49
2020-08-28,72,36
2020-08-29,85,48
2020-08-30,91,51
2020-08-31,73,42
2020-09-01,89,55
2020-09-02,84,43
2020-09-03,80,45
2020-09-04,85,62
2020-09-05,82,54
2020-09-06,93,46
2020-09-07,101,61
2020-09-08,83,51
2020-09-09,86,50
2020-09-10,87,46
2020-09-11,87,58
2020-09-12,103,57
2020-09-13,89,62
2020-09-14,69,38
2020-09-15,74,47
2020-09-16,95,53
2020-09-17,94,56
2020-09-18,83,53
2020-09-19,89,42
2020-09-20,99,63
2020-09-21,106,53
2020-09-22,96,55
2020-09-23,74,46
2020-09-24,103,62
2020-09-25,100,60
2020-09-26,81,43
2020-09-27,104,61
2020-09-28,95,44
2020-09-29,71,40
2020-09-30,96,57
2020-10-01,89,51
2020-10-02,93,59
2020-10-03,108,64
2020-10-04,85,51
2020-10-05,88,51
2020-10-06,95,73
